run_number,subs,pubs,duration,station_id_count,station_id_expected,city_count,city_expected,direction_count,direction_expected,temperature_count,temperature_expected,rain_count,rain_expected,wind_count,wind_expected,created_at_count,created_at_expected,station_id_config_percentage,station_id_actual_percentage,city_config_percentage,city_actual_percentage,direction_config_percentage,direction_actual_percentage,temperature_config_percentage,temperature_actual_percentage,rain_config_percentage,rain_actual_percentage,wind_config_percentage,wind_actual_percentage,created_at_config_percentage,created_at_actual_percentage
1732,1179,1412,0.20331215858459473,0,0,789,789,0,0,1155,1155,0,0,153,153,0,0,0,0,0.85,0.8504435994930292,0,0,0,0.1670995670995671,0,0,0.91,0.9150326797385621,0,0
1733,1482,1176,0.5222578048706055,1318,1318,1437,1437,1155,1155,88,88,0,0,518,518,0,0,0.72,0.720030349013657,0.36,0.360473208072373,0.62,0.6207792207792208,0,0.17045454545454544,0,0,0,0.16795366795366795,0,0
1734,1228,1500,0.39102888107299805,1154,1154,0,0,1178,1178,663,663,0,0,1203,1203,0,0,0,0.16724436741767765,0,0,0,0.16723259762308998,0,0.167420814479638,0,0,0.94,0.940149625935162,0,0
1735,1307,1218,0.14499974250793457,0,0,169,169,0,0,1293,1293,0,0,196,196,0,0,0,0,0.47,0.47337278106508873,0,0,0,0.16705336426914152,0,0,0,0.1683673469387755,0,0
1736,1079,1463,0.38271522521972656,571,571,636,636,0,0,0,0,496,496,517,517,884,884,0,0.1681260945709282,0.65,0.6509433962264151,0,0,0,0,0,0.16733870967741934,0,0.16827852998065765,0,0.167420814479638
1737,1226,1144,0.1966383457183838,0,0,0,0,980,980,0,0,0,0,1005,1005,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0.16716417910447762,0,0
1738,1362,1335,0.19665789604187012,1334,1334,0,0,0,0,640,640,0,0,0,0,0,0,0,0.1671664167916042,0,0,0,0,0.63,0.63125,0,0,0,0,0,0
1739,1147,1274,0.36009693145751953,0,0,676,676,883,883,837,837,825,825,424,424,929,929,0,0,0,0.16715976331360946,0,0.16761041902604756,0,0.16726403823178015,0,0.16727272727272727,0.72,0.7216981132075472,0,0.1668460710441335
1740,1150,1040,0.2792704105377197,0,0,540,540,885,885,0,0,1081,1081,747,747,0,0,0,0,0,0.16666666666666666,0,0.1672316384180791,0,0,0.99,0.9907493061979649,0.95,0.9504685408299867,0,0
1741,1449,1313,0.4165616035461426,1188,1188,912,912,0,0,898,898,0,0,869,869,0,0,0,0.16666666666666666,0.89,0.8903508771929824,0,0,0.95,0.9510022271714922,0,0,0.87,0.8711162255466053,0,0
1742,1087,1138,0.2802746295928955,858,858,0,0,913,913,423,423,717,717,0,0,0,0,0,0.16666666666666666,0,0,0.57,0.5706462212486308,0,0.16784869976359337,0.73,0.7308228730822873,0,0,0,0
1743,1210,1011,0.32124757766723633,0,0,1113,1113,677,677,0,0,0,0,786,786,1016,1016,0,0,0.52,0.5202156334231806,0,0.16691285081240767,0,0,0,0,0,0.16666666666666666,0,0.1673228346456693
1744,1041,1237,0.26155638694763184,811,811,1020,1020,0,0,947,947,0,0,0,0,624,624,0,0.16769420468557336,0,0.16666666666666666,0,0,0.99,0.9904963041182682,0,0,0,0,0,0.16666666666666666
1745,1078,1004,0.10703492164611816,0,0,452,452,625,625,0,0,0,0,0,0,0,0,0,0,0.39,0.3915929203539823,0,0.168,0,0,0,0,0,0,0,0
1746,1196,1478,0.15083670616149902,1160,1160,59,59,0,0,0,0,0,0,310,310,0,0,0,0.16724137931034483,0.9,0.9152542372881356,0,0,0,0,0,0,0,0.16774193548387098,0,0
1747,1183,1335,0.13126754760742188,0,0,780,780,0,0,402,402,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0.96,0.9601990049751243,0,0,0,0,0,0
1748,1395,1029,0.24819612503051758,0,0,0,0,0,0,139,139,1283,1283,1227,1227,0,0,0,0,0,0,0,0,0,0.17266187050359713,0.95,0.9501169134840218,0.94,0.9405052974735126,0,0
1749,1369,1027,0.13466906547546387,0,0,0,0,27,27,0,0,1341,1341,0,0,0,0,0,0,0,0,0.18,0.18518518518518517,0,0,0,0.16703952274422074,0,0,0,0
1750,1072,1270,0.11542439460754395,0,0,1072,1072,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.980410447761194,0,0,0,0,0,0,0,0,0,0
1751,1464,1370,0.21494078636169434,292,292,0,0,0,0,0,0,0,0,1420,1420,0,0,0.66,0.660958904109589,0,0,0,0,0,0,0,0,0,0.16690140845070423,0,0
1752,1054,1495,0.23999404907226562,0,0,664,664,895,895,0,0,685,685,0,0,801,801,0,0,0.55,0.5512048192771084,0,0.16759776536312848,0,0,0,0.1678832116788321,0,0,0,0.16729088639200998
1753,1069,1046,0.21008729934692383,1058,1058,491,491,0,0,0,0,0,0,951,951,0,0,0,0.16729678638941398,0.9,0.90020366598778,0,0,0,0,0,0,0.94,0.9400630914826499,0,0
1754,1387,1208,0.24674439430236816,0,0,0,0,0,0,1095,1095,901,901,0,0,471,471,0,0,0,0,0,0,0.87,0.8703196347031964,0,0.16759156492785793,0,0,0,0.16772823779193205
1755,1350,1335,0.2512776851654053,1255,1255,0,0,0,0,243,243,0,0,0,0,567,567,0,0.16733067729083664,0,0,0,0,0.99,0.9917695473251029,0,0,0,0,0,0.1675485008818342
1756,1169,1214,0.11822628974914551,0,0,0,0,0,0,1169,1169,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.6903336184773311,0,0,0,0,0,0
1757,1155,1185,0.1754453182220459,0,0,173,173,0,0,889,889,0,0,1097,1097,0,0,0,0,0.96,0.9653179190751445,0,0,0,0.16760404949381327,0,0,0.51,0.5104831358249772,0,0
1758,1216,1405,0.43003320693969727,0,0,1057,1057,0,0,0,0,535,535,437,437,1191,1191,0,0,0.9,0.9006622516556292,0,0,0,0,0,0.16822429906542055,0,0.16704805491990846,0,0.1670864819479429
1759,1071,1290,0.31523680686950684,1038,1038,514,514,824,824,0,0,0,0,0,0,985,985,0,0.16666666666666666,0.51,0.5116731517509727,0.68,0.6808252427184466,0,0,0,0,0,0,0.55,0.550253807106599
1760,1445,1182,0.14892005920410156,0,0,0,0,28,28,0,0,939,939,520,520,0,0,0,0,0,0,0.68,0.7142857142857143,0,0,0,0.16719914802981894,0.94,0.9403846153846154,0,0
1761,1215,1068,0.22988390922546387,996,996,1093,1093,0,0,0,0,692,692,0,0,0,0,0,0.16666666666666666,0,0.16742909423604757,0,0,0,0,0.99,0.9913294797687862,0,0,0,0
1762,1039,1432,0.25320982933044434,779,779,1007,1007,0,0,727,727,0,0,914,914,0,0,0,0.1668806161745828,0.98,0.9801390268123138,0,0,0,0.16781292984869325,0,0,0,0.1673960612691466,0,0
1763,1118,1148,0.25810718536376953,413,413,995,995,983,983,872,872,0,0,0,0,0,0,0,0.16707021791767554,0,0.16683417085427135,0.68,0.6805696846388606,0.87,0.8704128440366973,0,0,0,0,0,0
1764,1478,1128,0.36279916763305664,960,960,0,0,768,768,280,280,0,0,1226,1226,0,0,0,0.16666666666666666,0,0,0,0.16666666666666666,0,0.16785714285714284,0,0,0.98,0.9804241435562806,0,0
1765,1108,1356,0.09900641441345215,0,0,0,0,0,0,0,0,1108,1108,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.7102888086642599,0,0,0,0
1766,1025,1402,0.2931675910949707,809,809,0,0,758,758,645,645,963,963,789,789,0,0,0.95,0.9505562422744128,0,0,0.95,0.9511873350923483,0,0.16744186046511628,0,0.1671858774662513,0,0.16730038022813687,0,0
1767,1344,1421,0.12599921226501465,1344,1344,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9002976190476191,0,0,0,0,0,0,0,0,0,0,0,0
1768,1359,1098,0.14092278480529785,0,0,0,0,0,0,0,0,0,0,1359,1359,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.8300220750551877,0,0
1769,1166,1321,0.20854997634887695,0,0,0,0,0,0,641,641,1014,1014,0,0,221,221,0,0,0,0,0,0,0.68,0.6801872074882995,0,0.16666666666666666,0,0,0,0.167420814479638
1770,1060,1172,0.10199880599975586,0,0,0,0,0,0,1060,1060,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0
1771,1091,1097,0.10303449630737305,0,0,0,0,1091,1091,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.5307057745187901,0,0,0,0,0,0,0,0
1772,1050,1119,0.16199922561645508,0,0,0,0,924,924,147,147,945,945,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.93,0.9319727891156463,0.2,0.2,0,0,0,0
1773,1022,1015,0.3529198169708252,0,0,991,991,705,705,602,602,991,991,0,0,419,419,0,0,0,0.16750756811301715,0.59,0.5900709219858156,0,0.16777408637873753,0.85,0.8506559031281534,0,0,0.57,0.5704057279236276
1774,1356,1336,0.3000679016113281,854,854,1328,1328,0,0,691,691,610,610,0,0,0,0,0,0.16744730679156908,0,0.16716867469879518,0,0,0.99,0.9913169319826338,0.95,0.9508196721311475,0,0,0,0
1775,1354,1261,0.27094197273254395,0,0,1110,1110,1069,1069,284,284,108,108,419,419,0,0,0,0,0.57,0.5702702702702702,0,0.16744621141253507,0,0.16901408450704225,0.8,0.8055555555555556,0.69,0.6921241050119332,0,0
